region_id,min_id,saddle1_id,saddle2_id,max_id,mu_min,mu_saddle1,mu_saddle2,mu_max,nu_unnorm,nu
1,0,2,11,12,0.0158223904240887,0.0299764725743786,0.0135570483977243,0.0179986110016214,0.077354522397813,0.02697476241207085
2,1,4,6,16,0.0271633758304344,0.0271633758304344,0.0021936187234553,0.0107792859695116,0.0672996563538357,0.023468469383375802
3,5,2,14,12,0.0299764725743786,0.0299764725743786,0.0015612549989057,0.0179986110016214,0.0795128111492843,0.027727392309883123
4,5,14,18,13,0.0299764725743786,0.0015612549989057,0.0142067623308306,0.0015612549989057,0.047305744903020606,0.01649627183944826
5,5,3,18,17,0.0299764725743786,0.0070193746861126,0.0142067623308306,0.014039099808978,0.0652417094002998,0.02275083027957797
6,7,6,15,16,0.0021936187234553,0.0021936187234553,0.0229546750106767,0.0107792859695116,0.0381211984270989,0.013293473200520654
7,7,3,15,17,0.0021936187234553,0.0070193746861126,0.0229546750106767,0.014039099808978,0.0462067682292226,0.016113041050178373
8,8,4,9,16,0.0114775925578383,0.0271633758304344,0.0013123283313599,0.0107792859695116,0.0507325826891442,0.017691265128011363
9,10,9,19,16,0.0013123283313599,0.0013123283313599,0.0304824113503343,0.0107792859695116,0.043886353982565705,0.015303875392361272
10,21,11,22,12,0.0135570483977243,0.0135570483977243,0.0179986110016214,0.0179986110016214,0.06311131879869139,0.022007928913995754
11,21,22,28,31,0.0135570483977243,0.0179986110016214,0.0324999431997331,0.019042254212428,0.0830978568115068,0.028977555221852847
12,23,15,20,16,0.0229546750106767,0.0229546750106767,0.0107792859695116,0.0107792859695116,0.0674679219603766,0.02352714629867264
13,23,15,24,17,0.0229546750106767,0.0229546750106767,0.014039099808978,0.014039099808978,0.0739875496393094,0.02580064501863042
14,23,24,29,33,0.0229546750106767,0.014039099808978,0.0019456140568035,0.0114775925578383,0.050416981434296494,0.01758120990948533
15,23,20,29,35,0.0229546750106767,0.0107792859695116,0.0019456140568035,0.0154099697532468,0.0510895447902386,0.017815743536883387
16,25,14,22,12,0.0142067623308306,0.0015612549989057,0.0179986110016214,0.0179986110016214,0.05176523933297909,0.018051369059329546
17,25,14,18,13,0.0142067623308306,0.0015612549989057,0.0142067623308306,0.0015612549989057,0.0315360346594726,0.010997120995503111
18,25,18,24,17,0.0142067623308306,0.0142067623308306,0.014039099808978,0.014039099808978,0.056491724279617204,0.019699570153819103
19,25,22,34,31,0.0142067623308306,0.0179986110016214,0.019042254212428,0.019042254212428,0.07028988175730799,0.0245112089326214
20,25,24,34,33,0.0142067623308306,0.014039099808978,0.019042254212428,0.0114775925578383,0.0587657089100749,0.02049254505992532
21,26,19,20,16,0.03234631342117,0.0304824113503343,0.0107792859695116,0.0107792859695116,0.0843872967105275,0.029427203592013444
22,26,20,27,35,0.03234631342117,0.0107792859695116,0.03234631342117,0.0154099697532468,0.09088188256509841,0.03169196982624721
23,30,27,37,35,0.0018310255469011,0.03234631342117,0.0018310255469011,0.0154099697532468,0.051418334268219006,0.01793039770030126
24,32,29,36,33,0.0019456140568035,0.0019456140568035,0.0154099697532468,0.0114775925578383,0.0307787904246921,0.01073305778771719
25,32,29,36,35,0.0019456140568035,0.0019456140568035,0.0154099697532468,0.0154099697532468,0.0347111676201006,0.012104340775094133
26,38,28,39,31,0.0021046558183565,0.0324999431997331,0.0021046558183565,0.019042254212428,0.0557515090488741,0.019441445232816993
27,40,36,41,33,0.0070263062744595,0.0154099697532468,0.0177104339218176,0.0114775925578383,0.0516243025073622,0.018002222128183414
28,40,36,42,35,0.0070263062744595,0.0154099697532468,0.0331730556749971,0.0154099697532468,0.0710193014559502,0.024765569278463496
29,40,41,48,47,0.0070263062744595,0.0177104339218176,0.0015659513563095,0.0015659513563095,0.027868642908896096,0.009718242682027974
30,40,48,55,54,0.0070263062744595,0.0015659513563095,0.0070263062744595,0.0177104339218176,0.0333289978270461,0.011622356003873565
31,40,42,55,53,0.0070263062744595,0.0331730556749971,0.0070263062744595,0.0141960500454603,0.061421718269376396,0.021418738115102403
32,43,34,45,31,0.0150272711696638,0.019042254212428,0.0150272711696638,0.019042254212428,0.0681390507641836,0.023761179674736805
33,43,34,41,33,0.0150272711696638,0.019042254212428,0.0177104339218176,0.0114775925578383,0.0632575518617477,0.02205892272806712
34,43,41,48,47,0.0150272711696638,0.0177104339218176,0.0015659513563095,0.0015659513563095,0.035869607804100395,0.012508307443924263
35,43,45,51,49,0.0150272711696638,0.0150272711696638,0.015163290883171,0.015163290883171,0.0603811241056696,0.02105586624331935
36,43,48,51,54,0.0150272711696638,0.0015659513563095,0.015163290883171,0.0177104339218176,0.0494669473309619,0.017249917782969144
37,44,37,42,35,0.0304824113503343,0.0018310255469011,0.0331730556749971,0.0154099697532468,0.08089646232547928,0.02820989366316014
