,Region_1,Region_2,Region_3,Region_4,Region_5,Region_6,Region_7,Region_8,Region_9,Region_10,Region_11,Region_12,Region_13,Region_14,Region_15,Region_16,Region_17,Region_18,Region_19,Region_20,Region_21,Region_22,Region_23,Region_24,Region_25,Region_26,Region_27,Region_28,Region_29,Region_30,Region_31,Region_32,Region_33,Region_34,Region_35,Region_36
CP_0,30.513911000395566,43.986850650620696,59.87457275723452,97.97194763456747,78.83503629295389,112.48806983755796,43.5496944084024,61.40370723610853,100.7946066017363,86.29172149446424,93.2611803076587,111.09607489369242,59.54487318592466,69.71048158708811,86.24650099552758,69.24209107139701,117.69438227259843,125.31679234784376,110.43611867973473,119.45621000941772,133.8057005335845,118.61583766836227,93.90140039253274,88.1003185800318,103.60152236119873,112.09494304079408,135.98355388962662,142.9704837357464,80.45822232973006,97.94901427419833,120.32744765820024,126.76445361094638,141.77305767274012,135.89648310510304,113.35023052660465,158.168424617936
CP_1,41.825096721890105,29.5632123858493,28.98429554249277,66.14039053658689,47.00347919497331,80.65651273957738,57.50388106140894,69.58987842430955,68.96304950375573,62.73621224366117,70.84010623436885,86.8705706333586,44.54533577707656,47.28940751379825,64.77666860734833,61.86898169503666,85.86282517461785,93.48523524986318,88.01504460644487,97.03513593612784,111.38462646029463,104.95187154009196,81.11137976177257,80.72720920367145,96.28056874573193,99.30492241003392,111.69088655570981,120.54940966245651,88.64439351793106,104.34755557628434,113.00649404273344,114.17633886674089,128.10909154446983,122.23251697683273,119.74877182869065,136.71254038313697
CP_2,79.65405966991462,63.2676444208809,47.37992231426708,27.451830872308904,33.787790407352595,38.83469272128723,86.31184789232493,95.36121176203565,44.85270832453641,46.60941741721609,63.43825388126455,62.76022945413928,70.31666911480268,63.19065732459222,70.92434265552606,87.64031503276277,54.881243719782816,69.37489407064385,80.61319225334057,81.08314608585628,95.43263661002307,97.55001918698765,87.2590538099503,96.16928101198243,111.72264055404293,105.45259645821164,87.58054537649048,103.43935843108564,111.32028793256997,119.78962738459532,127.96393594919749,120.32401291491861,112.24702271268282,114.83066462372842,135.19084363700165,119.60248915176611
CP_3,113.86547661678871,97.479061367755,81.59133926114117,43.49396438380822,62.6308757254218,32.39435051708927,120.52326483919904,129.57262870890978,60.894841836035724,70.24472479238393,87.07356125643238,70.27890647904994,104.52808606167679,86.82596469976006,94.5596500306939,111.56405995482447,45.399028525945944,62.7349204901357,93.38519435734258,88.60182311076694,101.96755798551408,110.32202129098967,110.89436118511814,119.80458838715029,135.3053373043906,119.0698513035964,80.94057179598232,96.79938485057748,134.95559530773784,143.42493475976318,141.58119079458226,133.94126776030336,118.78194408817384,127.0721894155043,158.8261510121695,112.96251557125795
CP_4,12.306346792226757,10.904562701780154,26.79228480839398,64.88965968572693,45.75274834411334,79.40578188871741,27.985131131745593,45.83914395945172,67.71231865289576,53.209433545623696,60.17889235881816,78.01378694485187,27.596642794388302,36.628193638247566,54.11545473179764,44.9202887123484,84.61209432375789,92.2345043990032,77.35383073089419,86.37392206057716,100.72341258474394,94.29065766454127,69.57959803348413,63.77851622098319,79.33187576304368,87.77314068174547,102.90126594078606,109.88819578690583,64.89365905307324,82.3844509975415,96.0578010600452,102.49480701279133,117.44787766891915,111.57130310128204,97.78566724994782,126.0513265075863
CP_5,44.20075920183409,27.81434395280037,11.926621846186546,33.840426504873165,14.703515163259587,48.356548707863645,50.858547424244406,59.90791129395514,36.66308547204201,30.43624821194745,47.26508467599591,54.57060660164488,34.86336864672215,30.231733817492028,47.7189949110421,52.18701456468225,53.56286114290414,61.18527121814946,64.44002304807194,72.89352323336189,87.24301375752867,81.37684998171902,64.05370606546634,71.04524207331704,86.59860161537753,82.24724871372769,79.3909225239961,95.24973557859126,78.96242638757667,94.66558844592993,103.32452691237904,97.11866517043465,104.05739986018844,98.65749541845979,110.06680469833624,111.41286629927173
CP_6,81.74126077811025,65.35484552907653,49.467123422462706,11.369748545129756,30.506659886743336,11.341850710138226,88.39904900052056,97.4484128702313,28.770625997357264,38.12050895370547,54.949345417753925,46.678147126960134,72.40387022299831,54.7017488610816,62.435434192015435,79.43984411614602,27.388401708633815,44.72429367282357,69.78443500525277,65.00106375867713,79.35055428284392,86.72126193889986,78.77014534643968,87.68037254847181,103.2337320905323,95.46909195150658,62.9299449786702,78.78875803326537,102.83137946905934,111.3007189210847,117.98043144249243,110.34050840821355,96.16494038550368,104.00190737564063,126.70193517349101,94.95188875394584
CP_7,11.441934330752789,27.828349579786504,43.716071686400326,81.81344656373328,62.676535222119696,96.32956876672377,12.841600808180328,30.695613635886456,80.35759337304957,63.55455287684299,70.52401169003745,88.35890627607117,28.83677958570258,46.97331296946686,55.53840739530552,38.53399747117494,97.2573690439117,104.87977911915702,81.11257639916022,96.71904139179647,104.75916269540986,87.9077440681402,63.193306792310665,57.392224979809725,72.89342876097665,81.386849440572,113.24638527200537,120.23331511812513,49.75012872950798,67.24092067397625,89.61935405797816,96.05636001072429,111.06496407251808,105.18838950488097,82.64213692638256,127.46033101771398
CP_8,30.46732895599191,28.839541615094458,41.175334392467796,79.27270926980074,60.13579792818716,93.78883147279123,27.23757968449005,42.11652189232314,76.65226288458695,59.84922238838037,66.81868120157483,84.65357578760855,25.793936966143907,43.26798248100424,57.46093545012251,40.456525525991935,93.55203855544907,101.17444863069439,83.03510445397723,93.01371090333383,106.68169075022686,89.8302721229572,65.11583484712766,59.31475303462672,74.8681125766872,83.30937749538901,109.54105478354273,116.5279846296625,61.17103698594467,78.66182893041294,91.5940378736887,98.03104382643484,112.98749212733506,107.11091755969797,94.06304518281925,129.38285907253095
CP_9,28.04778103655364,11.661365787519923,11.969617060411048,50.06699193774399,30.930080596130416,64.58311414073448,26.96230851764681,36.01167238735754,47.446545552530196,30.643505056323615,37.61296386951808,55.447858455551795,10.967129740124559,14.062265148947485,31.549526242497556,28.29077565808466,64.34632122339232,71.96873129863764,54.78790224159411,63.807993571277095,78.15748409544388,71.7247291752412,47.884237396921804,47.149003166719446,62.70236270877993,66.07778004518315,80.335337451486,87.32226729760576,55.06618748097907,70.76934953933232,79.42828800578144,80.94919650189011,94.88194917961906,89.00537461198196,86.17056579173864,103.48539801828623
