Cell ID,Cell Type,DestinationId,NumberOfCriticalPointsOnBoundary,SeparatrixFunctionDifference,SeparatrixFunctionMaximum,SeparatrixFunctionMinimum,SeparatrixId,SeparatrixType,SourceId
87,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
88,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
89,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
90,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
91,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
92,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
93,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
94,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
95,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
96,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
97,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
98,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
99,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
100,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
101,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
102,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
103,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
104,3,33,2,0.566582,-0.223413,-0.789995,2,0,193
105,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
106,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
107,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
108,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
109,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
110,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
111,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
112,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
113,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
114,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
115,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
116,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
117,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
118,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
119,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
120,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
121,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
122,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
123,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
124,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
125,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
126,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
127,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
128,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
129,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
130,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
131,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
132,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
133,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
134,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
135,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
136,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
137,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
138,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
139,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
140,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
141,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
142,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
143,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
144,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
145,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
146,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
147,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
148,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
149,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
150,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
151,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
152,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
153,3,70,2,0.562013,-0.223413,-0.785426,3,0,193
154,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
155,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
156,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
157,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
158,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
159,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
160,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
161,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
162,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
163,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
164,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
165,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
166,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
167,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
168,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
169,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
170,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
171,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
172,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
173,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
174,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
175,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
176,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
177,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
178,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
179,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
180,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
181,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
182,3,70,2,0.467892,-0.317534,-0.785426,4,0,337
183,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
184,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
185,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
186,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
187,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
188,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
189,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
190,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
191,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
192,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
193,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
194,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
195,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
196,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
197,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
198,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
199,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
200,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
201,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
202,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
203,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
204,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
205,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
206,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
207,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
208,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
209,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
210,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
211,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
212,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
213,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
214,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
215,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
216,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
217,3,99,2,0.574377,-0.317534,-0.891911,5,0,337
218,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
219,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
220,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
221,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
222,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
223,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
224,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
225,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
226,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
227,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
228,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
229,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
230,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
231,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
232,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
233,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
234,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
235,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
236,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
237,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
238,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
239,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
240,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
241,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
242,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
243,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
244,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
245,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
246,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
247,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
248,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
249,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
250,3,0,2,0.529798,-0.318979,-0.848778,6,0,4571
251,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
252,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
253,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
254,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
255,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
256,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
257,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
258,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
259,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
260,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
261,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
262,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
263,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
264,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
265,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
266,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
267,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
268,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
269,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
270,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
271,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
272,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
273,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
274,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
