,Region_1,Region_2,Region_3,Region_4,Region_5,Region_6,Region_7,Region_8,Region_9,Region_10,Region_11,Region_12,Region_13,Region_14,Region_15,Region_16,Region_17,Region_18,Region_19,Region_20,Region_21,Region_22,Region_23,Region_24,Region_25,Region_26,Region_27,Region_28,Region_29,Region_30,Region_31,Region_32,Region_33,Region_34,Region_35,Region_36,Region_37,Region_38,Region_39,Region_40,Region_41,Region_42,Region_43,Region_44,Region_45,Region_46,Region_47
CP_0,31.32490414949054,136.51760627299456,55.56982915481742,63.91976204480262,95.95501163484062,127.6789434001762,114.26114487278724,160.94267119136148,158.96089822098054,47.85067147600047,65.36325077523014,123.23261362023027,105.66107444198221,109.27483137443959,123.48681005110133,61.69080598376299,65.4293625470787,87.56514383391081,72.72601054330426,91.78278994430887,138.72641886459184,144.06757323809106,155.90100049526902,121.0560549322016,125.00178775980251,93.22030280935572,115.88384300210085,134.62858133588668,117.44806165603137,127.3261034927998,148.88389250165355,94.14152016826816,99.1539935599591,113.07737366650241,107.34067344066386,125.0391460102079,150.57230898530162,158.095069348162,98.44540259898008,115.87807060254843,146.59982152854198,162.11698865395036,124.34445830803777,132.31649170179884,173.59527197648046,130.6539853392838,168.5591947752755
CP_1,116.62871073593732,12.234648169042702,92.38378573061044,84.03385284062524,51.99860325058725,20.274671485251684,33.692470012640634,36.65971308740962,44.546889466578314,108.2098594104991,116.09331616282779,46.55035121660566,52.99716470735674,67.90260439749618,64.72411971930165,88.2803727310258,83.25112886231348,69.93622982985917,97.4827911001742,78.42601169916958,62.044156460967244,72.66936352618993,84.50279078336789,79.6838279552582,78.73406976764993,141.75488743283805,90.60628180535487,93.1019689919992,108.40086796042893,123.10094845256597,107.78152749346593,105.43403685952038,94.92883851972528,108.85221862626858,118.63319013191608,120.81399096997407,98.06871069907811,114.1884939690183,136.52978764321367,127.17058729380065,132.77932937458056,135.11351412399927,135.63697499928998,135.2216045062134,129.68869659733673,141.946502030536,141.5557202453244
CP_2,11.367195521674839,102.97408145365551,22.026304335478383,30.37623722546358,62.411486815501576,94.13541858083715,80.7176200534482,127.39914637202243,125.41737340164153,28.982309807627324,46.49488910685699,89.68908880089123,72.11754962264317,78.98510948679201,93.19708816345376,28.147281164423955,31.885837727739656,54.02161901457177,53.8576488749311,71.66407722009093,105.18289404525281,113.77785135044348,125.61127860762144,90.76633304455403,94.71206587215494,74.35194114098256,97.01548133372769,108.92545483888979,98.57969998765822,108.45774182442665,123.60501334035652,75.273158499895,80.28563189158595,94.20901199812926,88.47231177229071,106.17078434183475,124.86918248830474,132.3919428511651,79.57704093060693,97.00970893417528,127.73145986016883,143.24862698557723,105.47609663966462,113.44813003342568,147.89214547948356,111.78562367091062,149.69083310690237
CP_3,77.67557076924335,37.61893575274228,53.43064576391647,45.080712873931276,13.045463283893287,28.780272879923913,15.362474352534964,62.0440006711092,69.9311770502779,69.25671944380515,81.28572739816735,39.40273810619099,34.667169047251065,49.5726087373905,57.57650660888697,49.32723276433185,44.29798889561952,30.98308986316521,67.682327469689,48.625548068684374,54.89654335055256,65.52175041577524,77.3551776729532,61.35383229515252,65.29956512275344,109.14277943229293,72.2762861452492,79.51295408948828,83.42244298531234,93.30048482208078,94.192512590955,75.63357322903516,65.12837488924008,79.05175499578338,88.83272650143087,91.01352733948887,90.92109758866343,102.9794421017636,106.72932401272847,97.37012366331544,112.57420285782297,121.52449922148833,105.83651136880478,105.42114087572818,118.47964473008204,112.14603840005078,127.96670534281346
CP_4,123.55055879257323,18.357856669069214,99.30563378724635,90.95570089726115,58.92045130722316,27.196519541887582,40.614318069276536,19.73459501109758,27.62177139026627,115.13170746713502,123.01516421946371,53.472199273241564,59.91901276399264,74.82445245413207,70.92641326118813,95.20222078766172,90.17297691894939,76.85807788649508,104.40463915681012,85.3478597558055,47.856250746654986,62.9499059314934,74.78333318867136,86.60567601189409,84.9363633095364,148.67673548947397,97.52812986199076,99.30426253388568,115.32271601706482,130.0227965092019,109.30255817798066,112.3558849161563,101.8506865763612,115.7740666829045,125.555038188552,127.73583902661,88.34925310438159,104.46903637432177,143.4516356998496,134.09243535043657,134.30036005909528,136.634544808514,142.55882305592593,142.1434525628493,119.96923900264022,148.86835008717193,143.07675092983914
CP_5,47.04686243113463,72.44340090121997,52.04718731664291,58.39407682620431,31.880806263066024,63.6047380284016,50.186939501012645,96.86846581958689,104.75564219875558,64.66197671708711,82.17455601631679,74.22720325466867,67.25916113890969,74.12672100305855,88.33869967972029,57.14074099410164,55.06985541393132,49.16323053083829,83.8280099237524,66.80568873635745,89.72100849903025,100.34621556425293,112.17964282143089,85.90794456082057,89.85367738842147,110.03160805044236,96.83039841091724,104.06706635515633,101.60258365298543,111.48062548975386,118.74662485662306,93.81371389670825,83.30851555691316,97.23189566345647,107.01286716910396,109.19366800716196,120.01079400457127,127.53355436743166,115.25670784006672,115.55026433098853,130.75434352549604,146.0786114871564,124.01665203647786,123.60128154340127,143.0337569957501,130.32617906772387,152.52081760848154
CP_6,104.8646050945169,5.7078334806425355,80.61968008919003,72.26974719920483,40.23449760916684,8.510565843831259,21.928364371220212,30.132898399009452,38.02007477817814,96.44575376907869,104.32921052140738,34.78624557518524,41.23305906593632,56.138498756075755,52.960014077881226,76.51626708960539,71.48702322089306,58.17212418843876,85.71868545875378,66.66190605774916,50.280050819546815,60.90525788476949,72.73868514194746,67.91972231383777,66.9699641262295,129.99078179141765,78.84217616393444,81.33786335057877,96.6367623190085,111.33684281114557,96.0174218520455,93.66993121809996,83.16473287830487,97.08811298484818,106.86908449049567,109.04988532855367,86.30460505765768,102.42438832759787,124.76568200179327,115.40648165238024,121.01522373316011,123.34940848257882,123.87286935786958,123.45749886479298,117.92459095591632,130.18239638911558,129.79161460390395
CP_7,106.9392587883693,12.02932133023143,82.69433378304242,74.34440089305723,42.309151303019235,14.08388464084195,24.003018065072617,36.45438624859835,44.34156262776704,98.52040746293109,106.40386421525977,40.35956437219593,43.30771275978872,58.21315244992816,58.53333287489192,78.59092078345779,73.56167691474546,60.246777882291155,87.79333915260618,68.73655975160156,55.853369616557515,66.4785766817802,78.31200393895816,69.99437600769018,72.54328292324018,132.06543548527003,80.91682985778685,86.91118214758946,98.71141601286091,113.41149650499796,101.59074064905619,95.74458491195236,85.23938657215726,99.16276667870056,108.94373818434806,111.12453902240605,91.87792385466838,107.99770712460857,126.84033569564566,117.48113534623263,126.5885425301708,128.9227272795895,125.94752305172197,125.53215255864536,123.49790975292701,132.257050082968,135.36493340091465
CP_8,153.1714727354872,47.9787706119832,128.92654773016034,120.57661484017514,88.54136525013715,56.81743348480157,70.23523201219052,23.553705693616283,31.440882072784976,144.752621410049,144.1168485141575,67.16916667353527,84.74070585178333,88.95750262036859,74.74552394370684,124.8231347305757,119.79389086186337,102.83663645985473,125.50632345150392,106.4495440504993,51.67536142917369,66.7690166140121,78.60244387119006,91.27973350980517,88.75547399205512,169.77841978416777,102.20218735990184,103.12337321640439,119.9967735149759,134.6794578693531,113.12166886049935,133.4575692108501,118.93203680204358,124.36746150450486,146.6567224832458,134.941502839024,92.16836378690029,108.28814705684047,164.5533199945434,155.19411964513037,138.11947074161398,140.4536554910327,157.52683340058155,149.3491163752633,123.78834968515892,169.97003438186573,146.89586161235783
CP_9,130.98673256058711,32.70310352722359,106.74180755526024,103.49239595581749,73.26569816537753,41.54176640004196,54.95956492743091,8.278038608856674,3.3507384890970853,121.8410047111846,116.02670493046962,39.07902308984738,56.65056226809544,60.867359036680696,46.65538036001895,101.9115180317113,96.88227416299897,74.74649287616685,97.41617986781603,78.35940046681141,23.5852178454858,38.67887303032421,50.51230028750218,63.189589926117286,60.665330408367225,141.6882762004799,74.11204377621397,75.0332296327165,91.90662993128802,106.5893142856652,85.03152527681146,105.3674256271622,90.84189321835571,96.27731792081698,118.56657889955791,106.85135925533613,64.0782202032124,80.19800347315258,136.4631764108555,127.10397606144248,110.02932715792608,112.36351190734479,129.4366898168937,121.25897279157545,95.69820610147103,141.87989079817783,118.80571802866992
