region_id,nu,nu_unnorm
1,0.02697476241207085,0.077354522397813
2,0.023468469383375802,0.0672996563538357
3,0.027727392309883123,0.0795128111492843
4,0.01649627183944826,0.047305744903020606
5,0.02275083027957797,0.0652417094002998
6,0.013293473200520654,0.0381211984270989
7,0.016113041050178373,0.0462067682292226
8,0.017691265128011363,0.0507325826891442
9,0.015303875392361272,0.043886353982565705
10,0.022007928913995754,0.06311131879869139
11,0.028977555221852847,0.0830978568115068
12,0.02352714629867264,0.0674679219603766
13,0.02580064501863042,0.0739875496393094
14,0.01758120990948533,0.050416981434296494
15,0.017815743536883387,0.0510895447902386
16,0.018051369059329546,0.05176523933297909
17,0.010997120995503111,0.0315360346594726
18,0.019699570153819103,0.056491724279617204
19,0.0245112089326214,0.07028988175730799
20,0.02049254505992532,0.0587657089100749
21,0.029427203592013444,0.0843872967105275
22,0.03169196982624721,0.09088188256509841
23,0.01793039770030126,0.051418334268219006
24,0.01073305778771719,0.0307787904246921
25,0.012104340775094133,0.0347111676201006
26,0.019441445232816993,0.0557515090488741
27,0.018002222128183414,0.0516243025073622
28,0.024765569278463496,0.0710193014559502
29,0.009718242682027974,0.027868642908896096
30,0.011622356003873565,0.0333289978270461
31,0.021418738115102403,0.061421718269376396
32,0.023761179674736805,0.0681390507641836
33,0.02205892272806712,0.0632575518617477
34,0.012508307443924263,0.035869607804100395
35,0.02105586624331935,0.0603811241056696
36,0.017249917782969144,0.0494669473309619
37,0.02820989366316014,0.08089646232547928
38,0.03828164164227753,0.1097788392203775
39,0.023947768432014314,0.06867412440018139
40,0.027378705750000128,0.0785128956766566
41,0.028573763191329184,0.0819399174312799
42,0.019764059327681178,0.0566766574837628
43,0.02758127332452125,0.0790937911722682
44,0.028346237707531613,0.0812874510679574
45,0.032032847046741426,0.0918594034857581
46,0.021755926445207168,0.0623886606963354
47,0.011356722378531805,0.032567250164278305
